request_id,category,source_field,value,name,type,total_dependencies_for_request
71,planning_instruments,development_plan,"Bebauungsplan Rissen 8 (established on February 17, 1970)",,,14
71,planning_instruments,plan_name,"Rissen 8 (established on February 17, 1970)",,,14
71,planning_instruments,plan_type,Bebauungsplan,,,14
71,planning_instruments,plan_primary_type,development_plan,,,14
71,planning_instruments,plan_references,,"Rissen 8 (approved on February 17, 1970)",development_plan,14
71,regulatory_ordinances,legal_ordinance,BauNutzungsverordnung,,,14
71,regulatory_ordinances,_notes,"Baunutzungsverordnung from November 26, 1968",,,14
71,regulation_texts,regulations,"WR, number of full stories mandatory 1, o; building boundaries",,,14
71,regulation_texts,zone_code,WR,,,14
71,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 4 BaumschutzVO,,,14
71,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 39 BNatSchG,,,14
71,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 4 BaumschutzVO,,,14
71,granted_exemption_legal_references,granted_exemptions.1.text,§ 4,,,14
71,granted_exemption_legal_references,granted_exemptions.1.text,§ 39,,,14
72,planning_instruments,development_plan,Bebauungsplan Wellingsbüttel 16,,,22
72,planning_instruments,plan_name,Wellingsbüttel 16,,,22
72,planning_instruments,plan_type,Bebauungsplan,,,22
72,planning_instruments,plan_primary_type,construction_plan,,,22
72,planning_instruments,plan_references,,Sasel,construction_plan,22
72,regulatory_ordinances,legal_ordinance,BauNutzungsverordnung,,,22
72,regulatory_ordinances,_notes,"Baunutzungsverordnung from January 23, 1990",,,22
72,regulation_texts,regulations,Front: MI III g; GRZ: 0.3; (10): Noise protection.,,,22
72,regulation_texts,zone_code,Front: MI III g,,,22
72,regulation_texts,back,"WR I o; 1 residential unit; (A) 120 sqm/180 sqm; single houses; roof pitch >= 40 degrees, maximum knee wall height 1m",,,22
72,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 31 Abs. 1 BauGB,,,22
72,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 2 BPlanVO,,,22
72,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 69 HBauO,,,22
72,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 52 Abs. 4 HBauO,,,22
72,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 31 Abs. 1 BauGB,,,22
72,granted_exemption_legal_references,granted_exemptions.1.text,§ 31 paragraph 1,,,22
72,granted_exemption_legal_references,granted_exemptions.1.text,§ 2,,,22
72,granted_exemption_legal_references,granted_exemptions.1.1.1.text,§ 2,,,22
72,granted_exemption_legal_references,granted_exemptions.2.legal_ref,§ 69 HBauO,,,22
72,granted_exemption_legal_references,granted_exemptions.2.text,§ 69 HBauO,,,22
72,granted_exemption_legal_references,granted_exemptions.2.text,§ 52 paragraph 4 HBauO,,,22
72,granted_exemption_legal_references,granted_exemptions.2.2.1.text,§ 52 paragraph 4 HBauO,,,22
73,planning_instruments,development_plan,"Bebauungsplan Othmarschen 2 (established on April 8, 1963)",,,18
73,planning_instruments,plan_name,"Othmarschen 2 (established on April 8, 1963)",,,18
73,planning_instruments,plan_type,Bebauungsplan,,,18
73,planning_instruments,plan_primary_type,development_plan,,,18
73,planning_instruments,plan_references,,"Othmarschen 2 (approved on April 8, 1963)",development_plan,18
73,planning_instruments,plan_references,,202,implementation_plan,18
73,regulatory_ordinances,legal_ordinance,Baupolizeiverordnung,,,18
73,regulatory_ordinances,_notes,"Baupolizeiverordnung from June 8, 1938",,,18
73,regulation_texts,regulations,W 2 o,,,18
73,regulation_texts,zone_code,W 2 o,,,18
73,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 4 BaumschutzVO,,,18
73,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 18 Abs. 1 HWG,,,18
73,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 4 BaumschutzVO,,,18
73,granted_exemption_legal_references,granted_exemptions.1.text,§ 4,,,18
73,granted_exemption_legal_references,granted_exemptions.2.legal_ref,§ 4 BaumschutzVO,,,18
73,granted_exemption_legal_references,granted_exemptions.2.text,§ 4,,,18
73,granted_exemption_legal_references,granted_exemptions.3.legal_ref,§ 18 Abs. 1 HWG,,,18
73,granted_exemption_legal_references,granted_exemptions.3.text,§ 18 Absatz 1 HWG,,,18
